gene_id,gene_short_name,cluster_method,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000076554,TPD52,leiden,leiden 3,0.3983169259703668,1.1602267485012956,0.5871559633027523,0.6783835145432808,0.3346325714866193,8.745378050391146e-38,1.2732570811125477e-32
ENSG00000164687,FABP5,leiden,leiden 4,0.4818586332044009,1.1307042082951886,0.8285714285714286,0.5815535228328976,0.3083381031123342,1.4990483652565952e-18,2.1824944959443822e-13
ENSG00000245164,LINC00861,leiden,leiden 1,0.6303670742982971,2.012261402724135,0.7555178268251274,0.8343510264307797,0.5860851847793994,2.080492130070295e-130,3.0290301020119435e-125
ENSG00000137101,CD72,leiden,leiden 3,0.4694288810061619,1.153640208486624,0.5688073394495413,0.8252862585430911,0.4055550162949849,3.950995843306069e-46,5.752333868186173e-41
ENSG00000196092,PAX5,leiden,leiden 3,0.6744924649749615,1.7548583938913889,0.7155963302752294,0.942559983106036,0.6338562305994887,5.56224828803739e-75,8.098188527519397e-70
ENSG00000106803,SEC61B,leiden,leiden 4,0.5319162173834183,7.958317774701105,1,0.5319162173834183,0.3608357145867811,1.4794007161325805e-21,2.1538890906317466e-16
ENSG00000136810,TXN,leiden,leiden 4,0.5605369555719919,5.924281362758564,1,0.5605369555719919,0.40152056727252494,6.5986253095402765e-24,9.60707056066588e-19
ENSG00000148154,UGCG,leiden,leiden 4,0.5153163211856076,5.091458182417474,0.7142857142857143,0.7214428496598506,0.2975040049224518,6.201047667968454e-18,9.028229320748632e-13
ENSG00000136869,TLR4,leiden,leiden 2,0.5658603959764973,1.407522056108229,0.8454332552693209,0.6693140971799566,0.6669339778484583,5.629840440338016e-138,8.196597293896923e-133
ENSG00000148180,GSN,leiden,leiden 4,0.5685758767287781,1.8609576623156292,0.9428571428571428,0.6030350207729465,0.343845385828343,1.4000783103771728e-20,2.0384020136443332e-15
ENSG00000085265,FCN1,leiden,leiden 2,0.626733129038201,21.212412785706142,1,0.626733129038201,0.903939850040105,8.204605309131625e-212,1.1945248961670915e-206
ENSG00000184709,LRRC26,leiden,leiden 4,0.4473723964340284,1.2434214879424896,0.4857142857142857,0.9210608161877055,0.37953743856809846,1.235769564789834e-22,1.799181624768815e-17
ENSG00000237943,PRKCQ-AS1,leiden,leiden 1,0.6059791764342978,2.042899608696942,0.7385398981324278,0.8205097354478194,0.5629373882786037,7.008165526194588e-124,1.0203328352897224e-118
